date,Time,Technician,Lab,Plot,Seed sample,Humidity,Equipment Fault,Plants,Blossoms,Notes
11/01/73,12:00,Bob,B,3,abc,0.5,True,1,1,"Another note with additional rows
"
11/01/73,12:00,Alice,B,3,edf,0.5,True,1,1,"This is the second row of CSV
"
11/01/73,12:00,steve,B,3,edf,0.5,False,7,2,"This is the third row of CSV
"
11/01/73,12:00,steve,B,3,edf,0.5,False,7,2,"This is the third row of CSV
"
11/01/73,12:00,steve,B,3,edf,0.5,False,7,2,"This is the third row of CSV
"
11/01/73,12:00,steve,B,3,edf,0.5,False,7,2,"This is the third row of CSV
"
11/01/73,12:00,steve,B,3,edf,0.5,False,7,2,"This is the third row of CSV
"
11/01/73,12:00,steve,B,3,edf,0.5,False,7,2,"This is the third row of CSV
"
11/01/73,12:00,steve,B,3,edf,0.5,False,7,2,"This is the third row of CSV
"
11/01/73,12:00,steve,B,3,edf,0.5,False,7,2,"This is the third row of CSV
"
11/01/73,12:00,steve,B,3,edf,0.5,False,7,2,"This is the third row of CSV
"
11/01/73,12:00,steve,B,3,edf,0.5,False,7,2,"This is the third row of CSV
"
11/01/73,12:00,steve,B,3,edf,0.5,False,7,2,"This is the third row of CSV
"
11/01/73,12:00,steve,B,3,edf,0.5,False,7,2,"This is the third row of CSV
"
